DataSource,StationID,Year,StationID_Trend,LongitudeDD,LatitudeDD,stratum,designweight,weightcategory,station,state,status,comment,set,Basin,SubBasin,BayShed,BayPanel,EcoRegion,BioRegion,Panel,BioPanel,Order,BasinSize,StreamSizeCat,StreamSizeCatPhase,AREA_SQ_MILES,IR2008,IR2010,IR2012,IR2014,IR2016,IR2018,IR2020,DO,pH,SpCond,TN,TP,TDS,NH4,NO3,TKN,Ortho-P,Turb,TSS,Na,K,Cl,Sf,70331VFine,SSCCOARSE,SSCFINE,SSCTOTAL,LRBS,Slope,FN_PCT,SA_PCT,SA_FN_PCT,LSUB_DMM,BL_CB_GR_Embed_PCT,Embed_PCT,TotHab,TotTaxa,EPTTax,VEphem,VPTHydropsychidae,VScrap,VChiro,V2Dom,HBI,VHapto,EPTInd,VSCIVCPMI,MetalCCU,ARSENICppm,BERYLLIUMppm,CADMIUMppm,CHROMIUMppm,COPPERppm,LEADppm,MANGppm,NICKELppm,SILVERppm,ZINCppm,ANTIMONYppm,ALUMINUMppm,SELENIUMppm,IRONppm,MERCURYppm,THALLIUMppm,CALCIUM,MAGNESIUM,ARSENIC,BARIUM,BERYLLIUM,CADMIUM,CHROMIUM,COPPER,IRON,LEAD,MANGANESE,THALLIUM,NICKEL,SILVER,ZINC,ANTIMONY,ALUMINUM,SELENIUM,HARDNESS,MERCURY,Hg-C,YearSampled,NLCD,totalArea_sqMile,PWater,N_INDEX,PFOR,PWETL,PSHRB,PNG,PBAR,PTotBAR,U_INDEX,PURB,PMBAR,PAGT,PAGP,PAGC,S,H,Hprime,C,RNAT1,RFOR1,RWETL1,RSHRB1,RNG1,RBAR1,RTotBAR1,RHUM1,RURB1,RMBAR1,RAGT1,RAGP1,RAGC1,RNAT30,RFOR30,RWETL30,RSHRB30,RNG30,RBAR30,RTotBAR30,RHUM30,RURB30,RMBAR30,RAGT30,RAGP30,RAGC30,RNAT120,RFOR120,RWETL120,RSHRB120,RNG120,RBAR120,RTotBAR120,RHUM120,RURB120,RMBAR120,RAGT120,RAGP120,RAGC120,sqMileImp,wshdImpPCT,MunMajor,MunMinor,IndMajor,IndMinor,damcount,STRMLEN,STRMDENS,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshdPOP2000,POPDENS2000,wshdPOP2010,POPDENS2010,POPCHG2000_2010,RDLEN,RDLEN120,STXRD_CNT,RDDENS,pctRoadLengthInRiparian,STXRD
State ProbMon,2-HAM000.37,2018,2-HAM000.37_2018,-80.021,37.4128,1,947.6292,2,790,VA,TS,Target,1,James,James,Bay,BayPhase2,Central Appalachian Ridges and Valleys,Mountain,Phase2,Phase4,2,2,Small,Phase2Small,1.737118521,1,1,1,1,1,1,2020,9.325,8.065,381.2,0.275,0.02,193,3.90E-02,0.17,6.50E-02,1.50E-02,1.93,2,1.62,0.65,1.21,12,66.7,0.41,0.83,1.24,4.26E-03,2.46875,0,6.666666667,6.666666667,2.175262981,63.63636364,20.81818182,133.5,16.5,10,21.37,28.6,22.28,27.73,52.28,3.78,62.73,57.5,69.63,0.1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,3.38,0.2,21.1,0.2,0.1,0.3,0.32,10,0.1,1.44,0.01,0.29,0.02,0.3,0.01,1.92,0.3,173,0.4,NA,2018,2016,1.737118521,0,94,93.32,0,0,0.68,0,1.14,6,1.14,1.14,4.86,4.86,0,6,0.696635886,0.388799891,0.33515312,85.71428571,85.71428571,0,0,0,0,14.28571429,14.28571429,14.28571429,14.28571429,0,0,0,79.28286853,79.28286853,0,0,0,0,7.569721116,20.71713147,7.569721116,7.569721116,13.14741036,13.14741036,0,82.43243243,82.43243243,0,0,0,0,4.234234234,17.56756757,4.234234234,4.234234234,13.33333333,13.33333333,0,0.00110155,0.0634,0,0,0,0,0,3580.314223,0.795777205,449,952,564.9978284,76.26983768,503,0.355126977,43.65630341,17.30666261,8.005107038,43.30117643,1069.94,1069.05,42.12364479,42.08860541,62.62112645,13.91846131,16.06379872,3.570414229,-74.34763693,5709.656036,2773.380953,3,2.798064202,48.57352064,0.837915281
State ProbMon,2-NBB006.16,2018,2-NBB006.16,-77.99936907,37.36443684,1,541.5024,3,791,VA,TS,Target,1,James,James,Bay,BayPhase2,Piedmont,Piedmont,Phase2,Phase4,3,3,Medium,Phase2Medium,14.94670157,1,1,1,1,1,1,2020,9.355,6.745,138.5,1.075,6.50E-02,93,0.04,0.815,0.35,4.50E-02,8.45,4,6.41,3.44,8.83,5.12,83.6,0.66,3.37,4.03,-0.90358138,0.1538,1.904761905,85.71428571,87.61904762,-0.113097313,1.818181818,90.72727273,110.5,12.5,6.5,43.64,10,19.55,22.73,45,4.61,54.55,67,61.15,0.6346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,4.74,0.2,42.3,0.2,0.1,0.57,1.32,146,0.1,188,0.01,0.69,0.02,0.3,0.01,2.98,0.3,46,0.5,NA,2018,2016,14.94670157,0.343922106,52.00659959,48.36753189,3.718076825,2.137894174,3.304440778,0.065066344,5.460925336,42.06306788,7.975274789,5.395858992,34.08779309,25.45255966,8.635233426,15,2.004762791,0.740297499,0.824336086,51.57894737,51.57894737,42.10526316,1.052631579,0,0,0,1.052631579,1.052631579,0,0,0,0,52.30698949,49.47464596,39.97259022,1.096391046,0.365463682,0,1.005025126,7.492005482,1.73595249,1.005025126,5.756052992,5.025125628,0.730927364,56.35892116,54.29460581,21.14107884,2.800829876,0.653526971,0.124481328,1.701244813,20.37344398,2.531120332,1.576763485,17.84232365,13.91078838,3.93153527,0.222686773,1.48918272,0,0,0,0,0,31822.84133,0.822040835,75,142,106.5991006,12.07693625,67,0,19.77333069,3.663481056,2.055945565,19.77333069,5401.04,1077.89,212.6394849,42.43663709,582.5727807,15.04889554,960.8962839,24.82166741,64.94012692,159472.0109,14650.27166,28,1.691432257,9.186735386,0.87987115
State ProbMon,3-BRK002.52,2018,3-BRK002.52,-77.86926198,38.40091046,1,541.5024,3,792,VA,TS,Target,1,Rappahannock-York,Rappahannock,Bay,BayPhase2,Northern Piedmont,Piedmont,Phase2,Phase4,3,2,Small,Phase2Small,9.876923052,1,1,1,1,1,1,2020,12.585,6.875,220,3.025,7.00E-02,141,0.03,2.48,0.7,4.50E-02,11.1,7,8.355,3.5,18,24.5,97,0.19,6.05,6.24,0.19561908,0.16666666,21.9047619,12.38095238,34.28571429,1.129107131,36.36363636,42.18181818,103,10,2.5,2.28,5.5,20.46,30.45,71.37,5.64,63.64,36,36.8,0.6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,6.74,0.31,25,0.2,0.2,0.38,1.39,105,0.2,69.3,0.02,0.69,0.02,0.86,0.05,4.75,0.4,71,1.1,NA,2018,2016,9.876923052,0.559681791,37.38955965,34.14410926,5.410257313,0.911682917,2.671688549,0.098560315,4.357773945,56.20401985,6.279700095,4.259213629,49.92431976,27.1568869,22.76743286,15,1.999909626,0.738505374,0.826924595,32.43243243,29.72972973,16.21621622,2.702702703,0,0,1.351351351,47.2972973,1.351351351,1.351351351,45.94594595,28.37837838,17.56756757,40.55690073,38.86198547,6.900726392,2.300242131,0.726392252,0.060532688,1.089588378,48.60774818,1.150121065,1.02905569,47.45762712,27.48184019,19.97578692,38.08106576,35.58673469,4.393424036,1.388888889,1.757369615,0.028344671,3.117913832,55.42800454,3.500566893,3.089569161,51.92743764,27.96201814,23.9654195,0.129628416,1.313105002,0,0,0,0,1,23935.69882,0.935673313,68,134,94.79317141,10.5119689,66,0,10.33712864,2.170904082,1.338396335,10.33712864,2157.33,1075.59,84.93429783,42.34608586,262.9142983,10.2776148,272.6035568,10.65637879,3.685329641,69791.86973,12913.04933,13,2.028973034,18.5022258,0.543121807
State ProbMon,3-MTL006.47,2018,3-MTL006.47,-76.9600031,37.96557639,1,541.5024,3,793,VA,TS,Target,1,Rappahannock-York,Rappahannock,Bay,BayPhase2,Southeastern Plains,Coast,Phase2,Phase4,3,3,Medium,Phase2Medium,18.05519731,1,1,1,1,1,1,2020,6.5,7.17,62,0.625,8.50E-02,60,0.06,0.145,0.55,0.05,19.4,23,3.115,1.28,5.98,2.8,61.1,10.7,16.8,27.5,-1.267047652,7.81E-02,40.95238095,43.80952381,84.76190476,-0.530094806,NA,89.09090909,149,11,5,21.82,1.8,15.46,16.82,60.46,5.39,67.73,37.5,56.22,1.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97,3.37,0.6,28.5,0.2,0.2,0.34,0.23,1370,0.2,106,0.02,0.96,0.02,0.62,0.02,19.8,0.4,24,0.8,NA,2018,2016,18.05519731,0.163618864,62.11357074,59.18190568,8.192492782,7.205004812,2.875842156,0.030798845,3.110683349,22.35033686,3.245428296,3.079884504,19.10490857,0.45813282,18.64677575,14,1.906612304,0.722459601,0.826852348,35.77235772,33.33333333,61.78861789,0.81300813,2.43902439,0,0.81300813,0.81300813,0.81300813,0.81300813,0,0,0,33.47654851,31.00608665,63.51593269,1.897601146,2.327246688,0,0.358037952,0.572860723,0.429645542,0.358037952,0.143215181,0,0.143215181,56.58068783,54.08399471,35.44146825,5.679563492,2.356150794,0.024801587,0.760582011,1.860119048,0.768849206,0.735780423,1.091269841,0.008267196,1.083002646,0.035447659,0.196361886,0,0,0,0,0,41005.4987,0.876878982,3,70,39.35030706,11.12732521,67,0,20.34250259,4.824741192,3.174087471,20.34250259,6489.4,1080.76,255.4883269,42.54962928,671.1758477,14.3527091,682.8797617,14.60299056,1.743792493,108567.0291,6094.474929,11,0.560070087,5.613559639,0.268256706
State ProbMon,3-XMO000.41,2018,3-XMO000.41,-77.93653026,38.5128498,1,3790.5166,1,794,VA,TS,Target,1,Rappahannock-York,Rappahannock,Bay,BayPhase2,Northern Piedmont,Piedmont,Phase2,Phase4,1,2,Small,Phase2Small,1.132201751,1,1,1,1,1,1,2020,11.545,6.66,133.5,1.915,6.50E-02,67,0.04,1.325,0.65,1.50E-02,7.44,4,3.56,1.7,11.4,7.22,93.1,0.42,5.71,6.14,0.418616,0.84,8.571428571,1.904761905,10.47619048,1.907043092,41.81818182,28.90909091,101,9,3,2.28,4.5,9.09,45.91,85,5.75,51.82,36.5,29.28,0.7055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,3.79,0.2,22.3,0.2,0.2,0.3,0.56,35.7,0.2,89.8,0.02,0.2,0.02,0.4,0.02,2.18,0.4,38,0.3,NA,2018,2016,1.132201751,1.28992629,24.69287469,24.2014742,0.798525799,0,0.061425061,0.214987715,3.040540541,73.43366093,2.917690418,2.825552826,70.51597052,35.96437346,34.55159705,12,1.463375403,0.588905585,0.715711384,0,0,0,0,0,0,0,100,0,0,100,80,20,5.369127517,1.342281879,3.355704698,0,0,0.67114094,2.013422819,81.87919463,1.342281879,1.342281879,80.53691275,50.33557047,30.20134228,5.590062112,4.192546584,1.086956522,0,0.155279503,0.155279503,2.173913043,87.88819876,2.01863354,2.01863354,85.86956522,42.08074534,43.78881988,0.001674911,0.148034398,0,0,0,0,1,2239.765151,0.763797904,106,177,131.4569684,15.37887549,71,0,12.9165144,3.667833752,2.137725848,12.9165144,1086.59,1086.59,42.77915696,42.77915696,35.94991634,12.25953121,79.40634703,27.07891112,120.8804779,7838.484915,1497.95439,3,2.581061,19.11025417,1.339426144
State ProbMon,4ABNN002.17,2018,4ABNN002.17_2018,-78.6383,36.7999,1,947.6292,2,795,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,2,2,Small,Phase2Small,2.381708416,1,1,1,1,1,1,2020,9.05,6.9,97,0.48,0.06,95,0.01,0.32,0.2,0.06,4.38,6,8.365,1.055,4.4,3.92,50.8,12.1,12.5,24.6,-1.181036601,0.24,2.857142857,79.04761905,81.9047619,-0.148037152,7.272727273,90.54545455,101,18,10,15.45,17.3,12.73,45.45,55.45,4.64,30.91,37,58.61,0.7631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,3.07,0.2,33.2,0.2,0.2,0.59,0.34,75.5,0.2,44.9,0.02,0.24,0.02,0.4,0.02,3.98,0.4,32,0.5,NA,2018,2016,2.381708416,0.218754557,60.04083418,55.024063,1.545865539,1.545865539,4.710514802,0.087501823,4.243838413,36.86743474,4.987603908,4.15633659,31.87983083,27.75266151,4.127169316,13,1.832374767,0.714390232,0.792762518,64.70588235,52.94117647,35.29411765,0,11.76470588,0,0,0,0,0,0,0,0,80.35264484,73.55163728,14.10579345,0.251889169,3.526448363,1.259445844,2.01511335,6.801007557,0.755667506,0.755667506,6.04534005,5.289672544,0.755667506,68.39378238,61.54289004,8.232584917,0.921128382,5.699481865,0.287852619,2.187679908,22.91306851,1.899827288,1.899827288,21.01324122,17.90443293,3.10880829,0.01151936,0.483447572,0,0,0,0,0,5956.643318,0.965634571,106,159,130.4891992,10.7352489,53,0,11.08965778,2.957658283,1.617944558,11.08965778,1085.44,1085.44,42.73388134,42.73388134,61.32831926,9.94196599,102.0241949,16.53919572,66.35739586,21255.52681,2252.140688,4,1.442656932,10.59555337,0.67151914
State ProbMon,4AFSF013.80,2018,4AFSF013.80,-79.01320713,37.29765912,1,541.5024,3,796,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,3,2,Small,Phase2Small,9.594550691,1,1,1,1,1,1,2020,9.83,7.19,88.5,0.42,0.02,63,0.03,0.245,0.2,1.50E-02,4.59,5,3.79,1.44,3.79,1.85,64,1.66,2.96,4.62,-0.470355552,0.415,17.14285714,6.666666667,23.80952381,0.930875965,74.54545455,56.72727273,133,18,8.5,36.82,6.4,28.19,30,55.91,4.63,43.19,58,63.05,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,3.56,0.2,18.3,0.2,0.2,0.3,0.6,143,0.2,34.4,0.02,0.32,0.02,0.4,0.02,3.13,0.4,34,0.5,NA,2018,2016,9.594550691,0.159397189,63.46181713,60.45862918,0.293435734,3.579191422,2.95609332,0.036226634,3.840023185,32.51702652,4.861614259,3.803796551,27.65541226,27.65541226,0,13,1.662500618,0.648161186,0.766862997,69.09090909,67.27272727,7.272727273,0,1.818181818,0,0,21.81818182,0,0,21.81818182,21.81818182,0,73.44729345,71.90883191,3.247863248,0.626780627,1.481481481,0,1.424501425,22.22222222,1.538461538,1.424501425,20.68376068,20.68376068,0,67.57044125,65.17809676,0.996810207,2.246145667,2.339181287,0.039872408,1.820839979,28.77458799,2.11323764,1.78096757,26.66135035,26.66135035,0,0.050765106,0.529234893,0,0,0,0,0,25476.7559,1.025225231,193,421,252.722873,32.08577219,228,0,31.89638138,5.292934033,3.856632218,31.89638138,3245.19,1084.37,127.7634548,42.69175534,592.3040535,23.83525841,1061.175712,42.70340069,79.16063653,67106.97795,9668.214385,22,1.428570463,14.407167,0.863532237
State ProbMon,4AJKN003.18,2018,4AJKN003.18,-79.59715526,36.97040387,1,3790.5166,1,797,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,1,1,Small,Phase2Small,0.620161205,1,1,1,1,1,1,2020,8.64,7.365,101.85,0.615,0.02,67,1.50E-02,0.51,0.15,1.50E-02,5.88,4,2.57,1.215,4.03,2.94,63.2,1.38,2.37,3.75,-2.42E-02,0.12,7.619047619,25.71428571,33.33333333,0.635040196,56.36363636,68.90909091,113.5,17.5,7,6.36,23.15,14.09,49.09,60,4.8,38.18,35,53.91,0.5303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,2.89,0.2,16.7,0.2,0.1,0.31,0.4,54.7,0.1,15,0.01,0.39,0.02,0.3,0.01,3.58,0.3,31,0.4,NA,2018,2016,0.620161205,0.560538117,62.83632287,56.27802691,0.056053812,0.056053812,6.558295964,0,5.941704036,36.49103139,6.894618834,5.941704036,29.59641256,20.51569507,9.080717489,12,1.725190909,0.694267895,0.78269282,100,100,0,0,0,0,0,0,0,0,0,0,0,87.80487805,87.80487805,1.219512195,0,0,0,0,0,0,0,0,0,0,68.39237057,66.48501362,0.272479564,0,1.907356948,0,1.907356948,28.61035422,1.907356948,1.907356948,26.70299728,24.52316076,2.179836512,0.004055232,0.654147982,0,0,0,0,0,1178.913005,0.733967729,248,440,305.748609,36.34053722,192,0,28.06611824,7.706081656,4.875152629,28.06611824,2233.61,1119,87.93744906,44.0551419,13.02005816,8.106028582,12.0112352,7.477955528,-7.748221564,6785.942757,201.6447778,1,0.614510799,2.971507203,0.84823901
State ProbMon,4APEN000.05,2018,4APEN000.05,-78.79470459,36.64053965,1,3790.5166,1,798,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,1,2,Small,Phase2Small,2.186005097,1,1,1,1,1,1,2020,7.98,7.39,94,0.25,0.02,77,0.02,0.03,0.3,0.01,7.46,5,4.985,0.823,7.53,7.77,55.6,1.42,1.78,3.2,-1.877123044,2.08E-02,90.47619048,0,90.47619048,-1.815461017,10.90909091,97.63636364,98,14,3,10,0.9,11.82,11.82,38.18,5.94,35.45,12,46.23,0.9282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26,4.2,0.2,14.2,0.2,0.2,0.45,0.55,258,0.2,129,0.02,0.33,0.02,0.4,0.02,21.2,0.4,33,1.4,NA,2018,2016,2.186005097,0.127408823,74.91638796,72.3682115,2.006688963,7.883420927,2.436693741,0.11148272,1.927058449,15.06609333,1.831501832,1.815575729,13.2345915,13.2345915,0,11,1.728723655,0.72093376,0.78661348,42.85714286,42.85714286,28.57142857,0,0,0,0,28.57142857,0,0,28.57142857,28.57142857,0,52.53623188,52.53623188,28.26086957,1.086956522,0,0,1.086956522,18.11594203,1.086956522,1.086956522,17.02898551,17.02898551,0,67.21311475,67.21311475,12.59706644,1.294219154,0,0,2.243313201,18.89559965,2.243313201,2.243313201,16.65228645,16.65228645,0,0.001296145,0.059404364,0,0,0,0,0,4138.281123,0.73091794,93,168,126.2970838,15.35714495,75,0,13.09744072,3.573652619,1.9719319,13.09744072,1089.77,1089.77,42.90435388,42.90435388,54.37123185,9.603240472,24.46323166,4.320783039,-55.00703069,7552.332719,444.169694,0,0.428708711,5.881225186,0
State ProbMon,4AROT000.81,2018,4AROT000.81,-79.92524536,36.8676127,1,3790.5166,1,799,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,1,2,Small,Phase2Small,1.511565725,1,1,1,1,1,1,2020,9.695,7.23,42.7,0.13,3.50E-02,26,9.00E-03,4.50E-02,0.15,0.02,2.56,2,3.245,0.985,2.09,0.54,66.7,0.4,0.8,1.2,-0.931207532,0.93333333,0,42.85714286,42.85714286,0.682541779,60,60.72727273,122.5,15.5,8.5,31.36,7.7,39.55,16.37,52.28,4.16,74.55,46.5,66.62,0.5258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.972,0.2,15.9,0.2,0.1,0.24,0.2,32.2,0.1,10.4,0.01,0.2,0.02,0.3,0.01,5.43,0.3,12,0.3,NA,2018,2016,1.511565725,0,89.75183824,81.77849265,0,0.965073529,7.973345588,0,4.227941176,9.283088235,4.6875,4.227941176,4.595588235,4.595588235,0,9,1.025161367,0.466571045,0.452910638,100,100,0,0,0,0,0,0,0,0,0,0,0,85.61403509,83.85964912,0,0,1.754385965,0,3.157894737,14.38596491,3.157894737,3.157894737,11.22807018,11.22807018,0,88.01020408,81.20748299,0,0.085034014,6.802721088,0,2.806122449,11.9047619,3.316326531,2.806122449,8.588435374,8.588435374,0,0.005455624,0.360753676,0,0,0,0,0,4245.7579,1.084496094,347,521,417.6816106,36.78916018,174,0,18.42848969,7.364494827,3.200823758,18.42848969,1194.4,1194.4,47.02364744,47.02364744,97.68958811,24.95290104,79.06354744,20.19524203,-19.06655667,15455.18427,4063.552542,5,3.851553426,26.29248847,1.177646045
State ProbMon,4ASRE063.69,2018,4ASRE063.69_2018,-80.1617,36.8436,1,541.5024,3,800,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,3,4,Large,Phase2Large,95.95035328,1,1,1,1,1,1,2020,9.26,7.51,59.2,0.4,0.02,49,0.01,0.26,0.1,0.01,5.21,5,3.205,0.916,3.1,3.12,88.9,0.5,3.97,4.46,NA,NA,NA,NA,NA,NA,NA,NA,168,14,9,37.27,5.5,31.82,10,40.91,4.19,71.82,63,68.01,0.5294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46,1.82,0.2,10.3,0.2,0.1,0.22,0.2,22.7,0.1,7.3,0.01,0.2,0.02,0.3,0.12,6.09,0.3,19,0.3,NA,2018,2016,95.95035328,0.045264927,84.42451983,82.30286219,0.014484776,1.887728497,2.102465309,0.01846809,4.08651757,13.62872621,4.275906023,4.06804948,9.352820186,9.345215678,0.007604508,15,1.229622235,0.454061832,0.585316078,83.40707965,82.74336283,0.442477876,0.221238938,0.663716814,0,3.318584071,15.7079646,3.539823009,3.318584071,12.16814159,12.16814159,0,81.44716692,79.86217458,0.145482389,0.78101072,1.569678407,0,4.647779479,17.54211332,4.82388974,4.647779479,12.71822358,12.71822358,0,78.78468368,76.76285609,0.059193489,1.511283759,2.01072882,0,6.124676286,19.60414354,6.481687014,6.124676286,13.12245653,13.12245653,0,0.214882103,0.223927402,0,0,1,0,2,193640.6315,0.779201381,310,1083,549.4022142,170.0566531,773,0,67.48861694,12.97339481,7.846042575,67.48861694,37613.99,1176.31,1480.866548,46.31144233,2704.646507,10.88337855,2258.607928,9.08853893,-16.49156656,628009.8636,184097.4555,186,3.784075162,29.31442102,0.960542209
State ProbMon,4AXOL000.94,2018,4AXOL000.94_2018,-79.6358,37.3432,1,3790.5166,1,801,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,1,1,Small,Phase2Small,0.098093183,1,1,1,1,1,1,2020,9.01,7.18,63.35,0.75,0.05,61,1.50E-02,0.6,0.15,0.04,11.6,8,3.83,1.785,3.4,0.74,73.2,2.56,6.99,9.55,-0.625563618,1.79333,6.666666667,27.61904762,34.28571429,1.251470823,32.72727273,50.54545455,112.5,13.5,8,10.91,23.15,1.37,30.91,59.55,4.5,60.46,66,53.51,0.9214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1.38,0.2,22.9,0.2,0.2,0.3,0.36,51.7,0.2,4.33,0.02,0.2,0.02,0.4,0.02,6.46,0.4,17,0.6,NA,2018,2016,0.098093183,0,37.58865248,37.58865248,0,0,0,0,8.865248227,62.41134752,14.18439716,8.865248227,48.22695035,48.22695035,0,5,1.314299382,0.81662012,0.672778029,100,100,0,0,0,0,0,0,0,0,0,0,0,95.65217391,95.65217391,0,0,0,0,0,4.347826087,0,0,4.347826087,4.347826087,0,70.14925373,70.14925373,0,0,0,0,0,29.85074627,0,0,29.85074627,29.85074627,0,0.002130126,2.173758865,0,0,0,0,0,315.6728551,1.24250519,278,320,304.9776358,8.270825202,42,0.502218962,16.19634247,6.376004462,3.331105881,15.69412351,2151.2,1074.88,84.69295912,42.31813309,8.159545786,32.11640728,9.364666024,36.8598248,14.76945248,2892.480996,214.2549762,0,1.773262215,7.407307999,0
State ProbMon,4AXWD000.65,2018,4AXWD000.65,-79.64117491,36.8151625,1,3790.5166,1,802,VA,TS,Target,1,Roanoke,Roanoke,NonBay,NonBayPhase2,Piedmont,Piedmont,Phase2,Phase4,1,1,Small,Phase2Small,0.805057448,1,1,1,1,1,1,2020,8.48,7.04,58.3,0.165,0.02,53,9.00E-03,0.04,0.1,0.02,3.81,3,3.23,1.19,1.4,0.96,33.3,1.97,0.98,2.95,-0.671662382,0.71333333,4.761904762,47.61904762,52.38095238,0.447305226,47.27272727,73.09090909,121.5,21.5,13,20.46,24.55,18.64,10.91,35,4.04,72.73,70,75.17,0.9557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,1.72,0.2,20,0.2,0.2,0.57,0.41,39.4,0.2,20.1,0.02,0.32,0.02,0.4,0.02,4.3,0.4,18,1.1,NA,2018,2016,0.805057448,0,76.06911447,64.19006479,0,18.8336933,11.87904968,0,0.60475162,5.097192225,0.820734341,0.60475162,4.276457883,4.276457883,0,8,1.602680029,0.770726177,0.76052265,100,100,0,0,0,0,0,0,0,0,0,0,0,84.55284553,82.92682927,0,15.44715447,1.62601626,0,0,0,0,0,0,0,0,70.93023256,66.66666667,0,26.1627907,4.263565891,0,0,2.906976744,0,0,2.906976744,2.906976744,0,0.000782,0.097192225,0,0,0,0,0,1741.993725,0.835448177,249,479,297.6436378,44.41724551,230,0,28.42383957,6.246815144,4.94878213,28.42383957,1166.27,1142.51,45.91616653,44.98073295,23.32884076,11.18835115,12.53699206,6.012654932,-46.25968694,23.32884076,11.18835115,12.53699206,6.012654932,-46.25968694,4518.332882
State ProbMon,5AOTR004.21,2018,5AOTR004.21_2018,-77.072,37.1135,1,541.5024,3,803,VA,TS,Target,1,Chowan,Chowan,NonBay,NonBayPhase2,Southeastern Plains,Coast,Phase2,Phase4,3,3,Medium,Phase2Medium,14.82035615,1,1,1,1,1,1,2020,3.915,6.22,68,0.68,0.03,65,2.50E-02,1.50E-02,0.7,1.50E-02,3.98,5,2.985,1.4,5.02,0.65,76.8,1.04,3.44,4.48,NA,NA,NA,NA,NA,NA,NA,NA,161,17.5,4,25.46,0.9,10.46,15,56.36,5.93,23.18,29,62.39,0.9611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,0.887,0.43,37.1,0.2,0.1,0.2,0.2,799,0.16,65.4,0.01,0.68,0.02,0.88,0.02,53,0.3,23,1.2,NA,2018,2016,14.82035615,1.116296522,64.60448864,59.61164138,13.65587111,15.82983514,4.617621538,0.002345161,1.984006004,5.166389156,2.120025328,1.981660843,3.046363828,0.03048709,3.015876738,13,1.563831662,0.609692998,0.685034024,13.46153846,6.730769231,75.96153846,5.769230769,6.730769231,0,0.961538462,0.961538462,0.961538462,0.961538462,0,0,0,18.2543013,14.98111624,71.0868653,6.0847671,2.182123374,0,0.923206043,1.384809064,0.965169954,0.923206043,0.41963911,0,0.41963911,36.5056267,32.5572371,46.22623205,10.42879317,2.726038029,0,1.445479239,4.63717501,1.51338766,1.445479239,3.12378735,0.116414435,3.007372914,0.017166105,0.115850942,0,0,0,0,1,34857.40275,0.908105248,17,46,33.26176957,4.424511765,29,0,8.060208321,1.716735566,1.106232005,8.060208321,4527.73,1137.61,178.2571829,44.78781946,236.2853813,6.155708053,59.93700548,1.561479197,-74.63363787,95624.41762,11885.06352,21,1.281112163,12.42890029,0.602454525
